Date,Newly eligible families,Directly placed families,Presumptively placed families,Families placed in motels
1/23/2023,23,11,20,388
1/24/2023,23,19,13,395
1/25/2023,17,13,11,401
1/26/2023,7,7,5,403
1/27/2023,13,7,9,414
1/30/2023,18,13,9,423
1/31/2023,21,16,11,427
2/1/2023,20,13,5,427
2/2/2023,16,13,11,431
2/3/2023,13,11,9,438
2/6/2023,14,7,14,445
2/7/2023,18,14,14,451
2/8/2023,18,17,7,449
2/9/2023,7,5,4,454
2/10/2023,21,13,14,464
2/13/2023,15,11,8,468
2/14/2023,14,12,9,473
2/15/2023,11,12,8,479
2/16/2023,30,10,19,489
2/17/2023,12,3,6,501
2/21/2023,26,26,21,498
2/22/2023,13,10,11,501
2/23/2023,12,11,9,493
2/24/2023,11,7,10,503
2/27/2023,14,11,11,504
2/28/2023,14,10,7,505
3/1/2023,18,15,14,511
3/2/2023,14,7,9,515
3/3/2023,15,10,10,527
3/6/2023,17,11,12,537
3/7/2023,17,15,12,538
3/8/2023,9,7,8,538
3/9/2023,11,6,8,543
3/10/2023,14,5,8,550
3/13/2023,19,12,12,583
3/14/2023,0,0,0,583
3/15/2023,17,12,9,588
3/16/2023,23,18,15,592
3/17/2023,18,12,14,592
3/20/2023,17,6,11,596
3/21/2023,21,17,15,600
3/22/2023,15,13,10,601
3/23/2023,20,9,10,602
3/24/2023,24,18,16,608
3/27/2023,15,9,11,613
3/28/2023,21,9,13,620
3/29/2023,20,12,13,629
3/30/2023,18,17,10,630
3/31/2023,14,10,9,624
4/3/2023,18,6,13,628
4/4/2023,20,10,17,637
4/5/2023,28,9,26,655
4/6/2023,27,17,22,665
4/7/2023,24,4,19,684
4/10/2023,20,9,13,692
4/11/2023,24,11,17,704
4/12/2023,22,10,19,701
4/13/2023,22,6,12,723
4/14/2023,27,6,21,738
4/18/2023,14,7,7,743
4/19/2023,23,12,15,750
4/20/2023,6,2,5,746
4/21/2023,27,4,21,769
4/24/2023,9,9,3,764
4/25/2023,13,7,10,770
4/26/2023,14,6,10,773
4/27/2023,15,3,13,786
4/28/2023,21,8,13,808
5/1/2023,19,13,11,811
5/2/2023,23,13,16,814
5/4/2023,22,13,18,829
5/5/2023,20,12,17,834
5/8/2023,20,14,14,838
5/9/2023,24,10,15,853
5/10/2023,20,13,14,854
5/11/2023,24,21,13,853
5/12/2023,17,10,10,858
5/15/2023,20,7,13,868
5/16/2023,22,9,16,878
5/17/2023,11,4,7,884
5/18/2023,16,7,10,891
5/19/2023,22,3,17,908
5/23/2023,13,8,8,909
5/24/2023,19,13,8,921
5/25/2023,19,7,16,928
5/26/2023,29,4,27,950
5/30/2023,24,10,20,960
5/31/2023,28,12,21,975
6/1/2023,22,9,18,986
6/2/2023,28,5,16,1009
6/5/2023,28,14,26,1023
6/6/2023,24,6,21,1037
6/7/2023,27,9,14,1051
6/8/2023,19,6,13,1064
6/9/2023,16,11,13,1069
6/12/2023,33,14,25,1086
6/13/2023,23,16,14,1091
6/14/2023,21,13,16,1098
6/15/2023,13,9,5,1101
6/16/2023,36,15,23,1121
6/20/2023,26,7,21,1136
6/21/2023,24,9,16,1150
6/22/2023,18,10,10,1155
6/23/2023,19,18,10,1155
6/26/2023,20,16,7,1154
6/27/2023,11,6,10,1155
6/28/2023,12,9,6,1158
6/29/2023,19,14,12,1161
6/30/2023,25,20,13,1165
7/3/2023,7,3,5,1168
7/5/2023,25,9,21,1170
7/6/2023,27,11,20,1184
7/7/2023,34,20,15,1193
7/10/2023,19,6,13,1201
7/11/2023,30,14,21,1217
7/12/2023,20,12,14,1226
7/13/2023,20,12,14,1231
7/14/2023,26,13,20,1240
7/17/2023,17,7,12,1249
7/18/2023,23,16,16,1251
7/19/2023,25,8,22,1267
7/20/2023,28,7,24,1285
7/21/2023,24,9,15,1299
7/24/2023,32,11,17,1314
7/25/2023,17,10,12,1317
7/26/2023,15,5,8,1323
7/28/2023,12,4,5,1346
7/31/2023,20,12,14,1352
8/1/2023,20,12,12,1355
8/2/2023,23,11,17,1367
8/3/2023,23,6,17,1381
8/4/2023,12,7,8,1382
8/7/2023,18,8,13,1391
8/8/2023,25,15,22,1401
8/9/2023,30,16,16,1411
